     code  logKa         score
1    4llx   2.89  17679.192838
2    5c28   5.66  15777.274567
3    3uuo   7.96  15698.160947
4    3ui7   9.00  12744.919780
5    5c2h  11.09  64831.979687
6    2v00   3.66  20036.206267
7    3wz8   5.82  72719.912460
8    3pww   7.32  19275.422947
9    3prs   7.82  70846.077247
10   3uri   9.00  14989.026907
11   4m0z   5.19  15878.679730
12   4m0y   6.46  15042.102564
13   3qgy   7.80  66922.476673
14   4qd6   8.64  70811.957213
15   4rfm  10.05  15754.764850
16   4cr9   4.10  16760.520060
17   4cra   7.22  70648.751260
18   4x6p   8.30  73542.573787
19   4crc   8.72  73634.060783
20   4ty7   9.52  71218.523050
21   5aba   2.98  14733.678473
22   5a7b   3.57  13367.876667
23   4agn   3.97  12973.084540
24   4agp   4.69  19298.508887
25   4agq   5.01  13725.616607
26   3bgz   6.26  67287.947527
27   3jya   6.89  10959.554927
28   2c3i   7.60  12085.249753
29   4k18   8.96  17860.073853
30   5dwr  11.22  20032.054144
31   3mss   4.66  16975.741740
32   3k5v   6.30  15836.737343
33   3pyy   6.86  13400.348000
34   2v7a   8.30  16958.427460
35   4twp  10.00  71746.776257
36   3wtj   6.53  15880.212824
37   3zdg   7.10  23659.176564
38   3u8k   8.66  17231.007524
39   4qac   9.40  18385.562953
40   3u8n  10.17  16825.830870
41   1a30   4.30  20257.106560
42   2qnq   6.11  68625.972760
43   1g2k   7.96  73344.586370
44   1eby   9.70  70873.374010
45   3o9i  11.82  21276.439020
46   4lzs   4.80  16010.763225
47   3u5j   5.61  16303.575747
48   4wiv   6.26  21520.237827
49   4ogj   6.79  19729.029563
50   3p5o   7.30  17805.047393
51   1ps3   2.28  20821.762887
52   3dx1   3.58  24003.735797
53   3d4z   4.89  22347.645887
54   3dx2   6.82  24482.008214
55   3ejr   8.57  20631.933350
56   3l7b   2.40  23709.796403
57   4eky   3.52  22987.018890
58   3g2n   4.09  20569.324710
59   3syr   5.10  25677.040477
60   3ebp   5.91  27889.028207
61   2w66   4.05  17322.249227
62   2w4x   4.85  18931.585467
63   2wca   5.60  16822.441993
64   2xj7   6.66  23426.194663
65   2vvn   7.30  26692.281580
66   3aru   3.22  18372.272394
67   3arv   5.64  28997.950444
68   3ary   6.00  15210.860817
69   3arq   6.40  18865.097800
70   3arp   7.15  30603.556123
71   4ih5   4.11  13748.922917
72   4ih7   5.24  11609.861763
73   3cj4   6.51  10747.426460
74   4eo8   8.15  17713.128767
75   3gnw   9.10  68037.514203
76   1gpk   5.37  21847.848747
77   1h23   8.35  19666.899663
78   1h22   9.10  19736.785330
79   3f3a   4.19  17194.717400
80   3f3c   6.02  15764.553813
81   4mme   6.50  14338.306584
82   3f3d   7.16  19467.178943
83   3f3e   7.70  19360.221010
84   2wbg   4.45  21462.071907
85   2cbv   5.48  23247.697323
86   2j78   6.42  17916.497173
87   2j7h   7.19  11905.580593
88   2cet   8.02  18381.222047
89   3udh   2.85  19593.269611
90   3rsx   4.41  15324.668493
91   4djv   6.72  19242.347684
92   2vkm   8.74  69845.517160
93   4gid  10.77  23377.038000
94   4jfs   5.27  16357.588557
95   4j28   5.70  19194.331610
96   2wvt   6.12  19808.455190
97   2xii   7.20  20942.361993
98   4pcs   7.85  22486.412710
99   3rr4   4.55  10915.819750
100  1s38   5.15  14744.665544
101  1r5y   6.46  13478.631017
102  3gc5   7.26  10633.953584
103  3ge7   8.70  12359.526180
104  4dli   5.62  13536.855220
105  2zb1   6.32  14440.276253
106  4f9w   6.94  66364.003324
107  3e92   8.00  17294.408437
108  3e93   8.85  68480.011580
