     code  logKa     score
1    4llx   2.89  6.983300
2    5c28   5.66  7.115667
3    3uuo   7.96  7.121467
4    3ui7   9.00  7.146300
5    5c2h  11.09  7.258467
6    2v00   3.66  7.249433
7    3wz8   5.82  6.673033
8    3pww   7.32  6.826333
9    3prs   7.82  6.797667
10   3uri   9.00  6.769200
11   4m0z   5.19  6.712733
12   4m0y   6.46  7.022600
13   3qgy   7.80  6.930000
14   4qd6   8.64  6.771367
15   4rfm  10.05  6.782367
16   4cr9   4.10  7.280567
17   4cra   7.22  6.825033
18   4x6p   8.30  6.868667
19   4crc   8.72  6.851433
20   4ty7   9.52  6.822633
21   5aba   2.98  7.300433
22   5a7b   3.57  7.318633
23   4agn   3.97  7.346633
24   4agp   4.69  7.408967
25   4agq   5.01  7.389233
26   3bgz   6.26  6.657933
27   3jya   6.89  7.167867
28   2c3i   7.60  7.149733
29   4k18   8.96  6.847567
30   5dwr  11.22  6.940000
31   3mss   4.66  7.281200
32   3k5v   6.30  7.208000
33   3pyy   6.86  7.341400
34   2v7a   8.30  6.745900
35   4twp  10.00  6.746400
36   3wtj   6.53  6.979500
37   3zdg   7.10  7.194233
38   3u8k   8.66  7.245700
39   4qac   9.40  7.363767
40   3u8n  10.17  7.201400
41   1a30   4.30  6.256500
42   2qnq   6.11  6.884133
43   1g2k   7.96  6.806800
44   1eby   9.70  6.919033
45   3o9i  11.82  6.787167
46   4lzs   4.80  6.947900
47   3u5j   5.61  7.376233
48   4wiv   6.26  7.029267
49   4ogj   6.79  6.937933
50   3p5o   7.30  6.896900
51   1ps3   2.28  6.673333
52   3dx1   3.58  7.045933
53   3d4z   4.89  6.694700
54   3dx2   6.82  7.164800
55   3ejr   8.57  7.011600
56   3l7b   2.40  6.654300
57   4eky   3.52  6.601533
58   3g2n   4.09  6.841167
59   3syr   5.10  6.685533
60   3ebp   5.91  7.357933
61   2w66   4.05  6.919533
62   2w4x   4.85  6.825933
63   2wca   5.60  6.726900
64   2xj7   6.66  6.668700
65   2vvn   7.30  6.560533
66   3aru   3.22  7.189033
67   3arv   5.64  7.800633
68   3ary   6.00  7.593733
69   3arq   6.40  7.041133
70   3arp   7.15  7.266400
71   4ih5   4.11  6.780200
72   4ih7   5.24  7.108733
73   3cj4   6.51  6.658233
74   4eo8   8.15  6.872300
75   3gnw   9.10  7.035633
76   1gpk   5.37  6.838633
77   1h23   8.35  6.248167
78   1h22   9.10  6.251433
79   3f3a   4.19  6.895633
80   3f3c   6.02  6.770700
81   4mme   6.50  6.760200
82   3f3d   7.16  6.711333
83   3f3e   7.70  6.757167
84   2wbg   4.45  6.443267
85   2cbv   5.48  6.657067
86   2j78   6.42  6.772233
87   2j7h   7.19  6.865200
88   2cet   8.02  6.877167
89   3udh   2.85  7.299300
90   3rsx   4.41  7.428833
91   4djv   6.72  7.284400
92   2vkm   8.74  6.792367
93   4gid  10.77  6.700633
94   4jfs   5.27  6.531233
95   4j28   5.70  6.639333
96   2wvt   6.12  6.728400
97   2xii   7.20  6.662967
98   4pcs   7.85  6.415167
99   3rr4   4.55  7.040067
100  1s38   5.15  6.792867
101  1r5y   6.46  6.915800
102  3gc5   7.26  7.053000
103  3ge7   8.70  6.941033
104  4dli   5.62  7.254200
105  2zb1   6.32  7.155533
106  4f9w   6.94  7.210100
107  3e92   8.00  6.987200
108  3e93   8.85  6.901567
109  4owm   2.96  6.656133
110  3twp   3.92  6.785733
111  3r88   4.82  6.314400
112  4gkm   5.17  6.702767
113  3qqs   5.82  6.626333
114  3gv9   2.12  6.831800
115  3gr2   2.52  6.912800
116  4kz6   3.10  6.796800
117  4jxs   4.74  6.785567
118  2r9w   5.10  6.931500
119  2hb1   3.80  6.654200
120  1bzc   4.92  6.656900
121  2qbr   6.33  6.711467
122  2qbq   7.44  6.708700
123  2qbp   8.40  6.696900
124  1q8t   4.76  6.899367
125  1ydr   5.52  7.079767
126  1q8u   5.96  7.070200
127  1ydt   7.32  7.129700
128  3ag9   8.05  6.696667
129  3fcq   2.77  6.588900
130  1z9g   5.64  6.559733
131  1qf1   7.32  6.527067
132  5tmn   8.04  6.426367
133  4tmn  10.17  6.420600
134  4ddk   2.29  6.605133
135  4ddh   3.32  6.881533
136  3ivg   4.30  6.756767
137  3coz   5.57  6.993833
138  3coy   6.02  6.894067
139  3pxf   4.43  7.057633
140  4eor   6.30  6.736567
141  2xnb   6.83  6.891967
