     code  logKa         score
1    4llx   2.89    162.916261
2    5c28   5.66    216.837844
3    3uuo   7.96    304.590789
4    3ui7   9.00    366.386268
5    5c2h  11.09    477.260828
6    2v00   3.66    230.399198
7    3wz8   5.82    420.668198
8    3pww   7.32    542.439539
9    3prs   7.82    534.449862
10   3uri   9.00    451.845085
11   4m0z   5.19    444.700064
12   4m0y   6.46    260.378003
13   3qgy   7.80    396.292155
14   4qd6   8.64    389.123638
15   4rfm  10.05    395.032203
16   4cr9   4.10    188.984126
17   4cra   7.22    395.107714
18   4x6p   8.30    446.960716
19   4crc   8.72    425.401652
20   4ty7   9.52    401.941781
21   5aba   2.98    214.234237
22   5a7b   3.57    368.552683
23   4agn   3.97    256.612906
24   4agp   4.69    328.932504
25   4agq   5.01    318.862982
26   3bgz   6.26    458.859974
27   3jya   6.89    261.353990
28   2c3i   7.60    415.006898
29   4k18   8.96    436.184909
30   5dwr  11.22    493.282932
31   3mss   4.66    323.818311
32   3k5v   6.30    389.133994
33   3pyy   6.86    396.020691
34   2v7a   8.30    346.788798
35   4twp  10.00    406.590677
36   3wtj   6.53    315.992544
37   3zdg   7.10    275.363231
38   3u8k   8.66    264.590661
39   4qac   9.40    554.294411
40   3u8n  10.17    296.671076
41   1a30   4.30    253.336516
42   2qnq   6.11    583.999076
43   1g2k   7.96    617.340202
44   1eby   9.70    631.820244
45   3o9i  11.82    555.424311
46   4lzs   4.80    211.449148
47   3u5j   5.61    326.985914
48   4wiv   6.26    381.730171
49   4ogj   6.79    386.269186
50   3p5o   7.30    366.891197
51   1ps3   2.28    170.217606
52   3dx1   3.58    162.086529
53   3d4z   4.89    159.505082
54   3dx2   6.82    247.639095
55   3ejr   8.57    320.746358
56   3l7b   2.40    192.345318
57   4eky   3.52    220.498322
58   3g2n   4.09    228.799619
59   3syr   5.10    201.221219
60   3ebp   5.91    341.775601
61   2w66   4.05    199.537477
62   2w4x   4.85    189.596223
63   2wca   5.60    296.828637
64   2xj7   6.66    223.701954
65   2vvn   7.30    238.462416
66   3aru   3.22    201.279909
67   3arv   5.64    327.614916
68   3ary   6.00    172.052891
69   3arq   6.40    222.348521
70   3arp   7.15    498.770628
71   4ih5   4.11    254.547075
72   4ih7   5.24    310.965497
73   3cj4   6.51    307.890290
74   4eo8   8.15    354.679772
75   3gnw   9.10    520.545624
76   1gpk   5.37    256.720482
77   1h23   8.35    533.784431
78   1h22   9.10    486.215460
79   3f3a   4.19    276.010821
80   3f3c   6.02    278.072646
81   4mme   6.50    361.106683
82   3f3d   7.16    251.087188
83   3f3e   7.70    243.431450
84   2wbg   4.45    330.383029
85   2cbv   5.48    177.511245
86   2j78   6.42    175.483057
87   2j7h   7.19    128.177089
88   2cet   8.02    276.220706
89   3udh   2.85    222.088777
90   3rsx   4.41    244.046308
91   4djv   6.72    439.210370
92   2vkm   8.74    640.854788
93   4gid  10.77    655.417958
94   4jfs   5.27    250.151933
95   4j28   5.70    217.714241
