     code  logKa      score
1    4llx   2.89  17.873094
2    5c28   5.66  17.873094
3    3uuo   7.96  17.873094
4    3ui7   9.00  17.873094
5    5c2h  11.09  17.873094
6    2v00   3.66  17.873094
7    3wz8   5.82  17.873094
8    3pww   7.32  17.873094
9    3prs   7.82  17.873094
10   3uri   9.00  17.873094
11   4m0z   5.19  17.873094
12   4m0y   6.46  17.873094
13   3qgy   7.80  17.873094
14   4qd6   8.64  17.873094
15   4rfm  10.05  17.873094
16   4cr9   4.10  17.873094
17   4cra   7.22  17.873094
18   4x6p   8.30  17.873094
19   4crc   8.72  17.873094
20   4ty7   9.52  17.873094
21   5aba   2.98  17.873094
22   5a7b   3.57  17.873094
23   4agn   3.97  17.873094
24   4agp   4.69  17.873094
25   4agq   5.01  17.873094
26   3bgz   6.26  17.873094
27   3jya   6.89  17.873094
28   2c3i   7.60  17.873094
29   4k18   8.96  17.873094
30   5dwr  11.22  17.873094
31   3mss   4.66  17.873094
32   3k5v   6.30  17.873094
33   3pyy   6.86  17.873094
34   2v7a   8.30  17.873094
35   4twp  10.00  17.873094
36   3wtj   6.53  17.873094
37   3zdg   7.10  17.873094
38   3u8k   8.66  17.873094
39   4qac   9.40  17.873094
40   3u8n  10.17  17.873094
41   1a30   4.30  17.873094
42   2qnq   6.11  17.873094
43   1g2k   7.96  17.873094
44   1eby   9.70  17.873094
45   3o9i  11.82  17.873094
46   4lzs   4.80  17.873094
47   3u5j   5.61  17.873094
48   4wiv   6.26  17.873094
49   4ogj   6.79  17.873094
50   3p5o   7.30  17.873094
51   1ps3   2.28  17.858439
52   3dx1   3.58  17.873094
53   3d4z   4.89  17.800416
54   3dx2   6.82  17.873094
55   3ejr   8.57  17.873094
56   3l7b   2.40  17.872963
57   4eky   3.52  17.873094
58   3g2n   4.09  17.873094
59   3syr   5.10  17.850871
60   3ebp   5.91  17.873094
61   2w66   4.05  17.871591
62   2w4x   4.85  17.873094
63   2wca   5.60  17.873094
64   2xj7   6.66  17.873094
65   2vvn   7.30  17.873094
66   3aru   3.22  17.873094
67   3arv   5.64  17.873094
68   3ary   6.00  17.873094
69   3arq   6.40  17.873094
70   3arp   7.15  17.873094
71   4ih5   4.11  17.873094
72   4ih7   5.24  17.873094
73   3cj4   6.51  17.873094
74   4eo8   8.15  17.873094
75   3gnw   9.10  17.873094
76   1gpk   5.37  17.873094
77   1h23   8.35  17.873094
78   1h22   9.10  17.873094
79   3f3a   4.19  17.873094
80   3f3c   6.02  17.873094
81   4mme   6.50  17.873094
82   3f3d   7.16  17.873094
83   3f3e   7.70  17.873094
84   2wbg   4.45  17.873094
85   2cbv   5.48  17.873094
86   2j78   6.42  17.869820
87   2j7h   7.19  17.648654
88   2cet   8.02  17.873094
89   3udh   2.85  17.873094
90   3rsx   4.41  17.873094
91   4djv   6.72  17.873094
92   2vkm   8.74  17.873094
93   4gid  10.77  17.873094
94   4jfs   5.27  17.873094
95   4j28   5.70  17.873094
96   2wvt   6.12  17.869160
97   2xii   7.20  17.873094
98   4pcs   7.85  17.873094
99   3rr4   4.55  17.873094
100  1s38   5.15  17.873094
101  1r5y   6.46  17.873094
102  3gc5   7.26  17.873094
103  3ge7   8.70  17.873094
104  4dli   5.62  17.873094
105  2zb1   6.32  17.873094
106  4f9w   6.94  17.873094
107  3e92   8.00  17.873094
108  3e93   8.85  17.873094
109  4owm   2.96  17.873094
110  3twp   3.92  17.873094
111  3r88   4.82  17.873094
112  4gkm   5.17  17.873094
113  3qqs   5.82  17.873094
114  3gv9   2.12  17.888671
115  3gr2   2.52  17.873839
116  4kz6   3.10  17.873094
117  4jxs   4.74  17.873094
118  2r9w   5.10  17.873094
119  2hb1   3.80  17.873094
120  1bzc   4.92  17.873094
121  2qbr   6.33  17.873094
122  2qbq   7.44  17.873094
123  2qbp   8.40  17.873094
124  1q8t   4.76  17.873094
125  1ydr   5.52  17.873094
126  1q8u   5.96  17.873094
127  1ydt   7.32  17.873094
128  3ag9   8.05  17.873094
129  3fcq   2.77  17.873094
130  1z9g   5.64  17.873094
131  1qf1   7.32  17.873094
132  5tmn   8.04  17.873094
133  4tmn  10.17  17.873094
134  4ddk   2.29  17.873094
135  4ddh   3.32  17.873094
136  3ivg   4.30  17.873094
137  3coz   5.57  17.873094
138  3coy   6.02  17.873094
139  3pxf   4.43  17.873094
140  4eor   6.30  17.873094
141  2xnb   6.83  17.873094
142  1pxn   7.15  17.873094
