     code  logKa      score
1    4llx   2.89  13.144576
2    5c28   5.66  19.823787
3    3uuo   7.96  29.184981
4    3ui7   9.00  33.544797
5    5c2h  11.09  40.941435
6    2v00   3.66  16.572732
7    3wz8   5.82  40.707804
8    3pww   7.32  51.795117
9    3prs   7.82  44.234200
10   3uri   9.00  37.454814
11   4m0z   5.19  30.745682
12   4m0y   6.46  20.055116
13   3qgy   7.80  40.213752
14   4qd6   8.64  47.072468
15   4rfm  10.05  34.990008
16   4cr9   4.10  15.217271
17   4cra   7.22  37.763338
18   4x6p   8.30  38.142323
19   4crc   8.72  37.062644
20   4ty7   9.52  33.563891
21   5aba   2.98  29.469933
22   5a7b   3.57  45.098279
23   4agn   3.97  30.508078
24   4agp   4.69  41.464675
25   4agq   5.01  39.034399
26   3bgz   6.26  49.285907
27   3jya   6.89  24.890280
28   2c3i   7.60  40.888508
29   4k18   8.96  43.672155
30   5dwr  11.22  49.809043
31   3mss   4.66  36.169623
32   3k5v   6.30  42.230109
33   3pyy   6.86  36.668996
34   2v7a   8.30  31.856836
35   4twp  10.00  44.976402
36   3wtj   6.53  23.638882
37   3zdg   7.10  16.438092
38   3u8k   8.66  12.674260
39   4qac   9.40  53.605477
40   3u8n  10.17  15.555825
41   1a30   4.30  11.567212
42   2qnq   6.11  59.982743
43   1g2k   7.96  58.838220
44   1eby   9.70  56.565157
45   3o9i  11.82  46.436372
46   4lzs   4.80  15.215974
47   3u5j   5.61  32.121162
48   4wiv   6.26  44.150568
49   4ogj   6.79  46.953772
50   3p5o   7.30  34.500086
51   1ps3   2.28  -2.100831
52   3dx1   3.58  -0.200043
53   3d4z   4.89  -2.233995
54   3dx2   6.82   7.131589
55   3ejr   8.57  21.593265
56   3l7b   2.40  10.513757
57   4eky   3.52  10.955522
58   3g2n   4.09  12.162440
59   3syr   5.10   6.077952
60   3ebp   5.91  37.740840
61   2w66   4.05   4.734580
62   2w4x   4.85   6.574813
63   2wca   5.60  24.842370
64   2xj7   6.66   9.738883
65   2vvn   7.30   6.564724
66   3aru   3.22  12.306784
67   3arv   5.64  36.045410
68   3ary   6.00  11.278263
69   3arq   6.40  22.132173
70   3arp   7.15  55.720948
71   4ih5   4.11  24.259671
72   4ih7   5.24  28.870386
73   3cj4   6.51  28.975627
74   4eo8   8.15  30.064203
75   3gnw   9.10  49.807090
76   1gpk   5.37  17.682130
77   1h23   8.35  49.613589
78   1h22   9.10  44.084835
79   3f3a   4.19  15.636973
80   3f3c   6.02  18.001317
81   4mme   6.50  33.006124
82   3f3d   7.16  12.086349
83   3f3e   7.70  12.741313
84   2wbg   4.45  22.891213
85   2cbv   5.48   4.923701
86   2j78   6.42   1.781314
87   2j7h   7.19  -0.468179
88   2cet   8.02  13.079943
89   3udh   2.85  16.866857
90   3rsx   4.41  20.007832
91   4djv   6.72  42.631808
92   2vkm   8.74  55.039506
93   4gid  10.77  52.027453
94   4jfs   5.27  17.993717
95   4j28   5.70  10.408927
96   2wvt   6.12  -0.253106
97   2xii   7.20  21.284740
98   4pcs   7.85  19.490766
