     code  logKa       score
1    4llx   2.89   48.291885
2    5c28   5.66   69.574265
3    3uuo   7.96   92.423700
4    3ui7   9.00  109.314837
5    5c2h  11.09  129.533820
6    2v00   3.66   52.624394
7    3wz8   5.82  110.406298
8    3pww   7.32  137.155801
9    3prs   7.82  121.314174
10   3uri   9.00  101.947955
11   4m0z   5.19  115.647154
12   4m0y   6.46   55.114156
13   3qgy   7.80  112.428212
14   4qd6   8.64  112.511662
15   4rfm  10.05   97.802062
16   4cr9   4.10   40.760452
17   4cra   7.22   86.692487
18   4x6p   8.30   92.157087
19   4crc   8.72   87.881217
20   4ty7   9.52   85.642863
21   5aba   2.98   57.213079
22   5a7b   3.57   93.308224
23   4agn   3.97   62.578569
24   4agp   4.69   85.752485
25   4agq   5.01   79.247983
26   3bgz   6.26  163.627717
27   3jya   6.89   84.310629
28   2c3i   7.60  133.187266
29   4k18   8.96  130.468812
30   5dwr  11.22  157.332121
31   3mss   4.66  111.035122
32   3k5v   6.30  129.527075
33   3pyy   6.86  116.756331
34   2v7a   8.30   74.509676
35   4twp  10.00  137.706771
36   3wtj   6.53   85.277110
37   3zdg   7.10   66.244192
38   3u8k   8.66   53.158905
39   4qac   9.40  194.059259
40   3u8n  10.17   65.438634
41   1a30   4.30   53.688575
42   2qnq   6.11  165.043245
43   1g2k   7.96  159.892317
44   1eby   9.70  166.502178
45   3o9i  11.82  128.596097
46   4lzs   4.80   54.835369
47   3u5j   5.61  102.977680
48   4wiv   6.26  126.652847
49   4ogj   6.79  121.179321
50   3p5o   7.30  105.180097
51   1ps3   2.28   14.142953
52   3dx1   3.58   25.808113
53   3d4z   4.89   13.578624
54   3dx2   6.82   48.963178
55   3ejr   8.57   65.016248
56   3l7b   2.40   22.383241
57   4eky   3.52   34.681963
58   3g2n   4.09   33.517401
59   3syr   5.10   18.382955
60   3ebp   5.91  105.959015
61   2w66   4.05   18.705522
62   2w4x   4.85   28.204745
63   2wca   5.60   70.049196
64   2xj7   6.66   34.028055
65   2vvn   7.30   30.459211
66   3aru   3.22   39.545227
67   3arv   5.64  102.752676
68   3ary   6.00   37.299495
69   3arq   6.40   52.966215
