     code  logKa      score
1    4llx   2.89  23.965231
2    5c28   5.66  20.861644
3    3uuo   7.96  20.823816
4    3ui7   9.00  20.820859
5    5c2h  11.09  20.820865
6    2v00   3.66  20.842476
7    3wz8   5.82  20.820865
8    3pww   7.32  20.820865
9    3prs   7.82  20.820865
10   3uri   9.00  20.820865
11   4m0z   5.19  20.820856
12   4m0y   6.46  20.821667
13   3qgy   7.80  20.820865
14   4qd6   8.64  20.820865
15   4rfm  10.05  20.820838
16   4cr9   4.10  21.132022
17   4cra   7.22  20.820864
18   4x6p   8.30  20.820865
19   4crc   8.72  20.820864
20   4ty7   9.52  20.820865
21   5aba   2.98  20.818361
22   5a7b   3.57  20.820864
23   4agn   3.97  20.819669
24   4agp   4.69  20.820864
25   4agq   5.01  20.820863
26   3bgz   6.26  20.820865
27   3jya   6.89  20.820860
28   2c3i   7.60  20.820865
29   4k18   8.96  20.820865
30   5dwr  11.22  20.820865
31   3mss   4.66  20.820840
32   3k5v   6.30  20.820865
33   3pyy   6.86  20.820860
34   2v7a   8.30  20.820762
35   4twp  10.00  20.820865
36   3wtj   6.53  20.821689
37   3zdg   7.10  21.362758
38   3u8k   8.66  22.411335
39   4qac   9.40  20.820865
40   3u8n  10.17  20.961018
41   1a30   4.30  20.820865
42   2qnq   6.11  20.820865
43   1g2k   7.96  20.820865
44   1eby   9.70  20.820865
45   3o9i  11.82  20.820865
46   4lzs   4.80  21.103457
47   3u5j   5.61  20.820850
48   4wiv   6.26  20.820865
49   4ogj   6.79  20.820865
50   3p5o   7.30  20.820856
51   1ps3   2.28  20.808460
52   3dx1   3.58  20.820684
53   3d4z   4.89  20.843837
54   3dx2   6.82  20.820924
55   3ejr   8.57  20.821029
56   3l7b   2.40  21.478872
57   4eky   3.52  20.823136
58   3g2n   4.09  21.061900
59   3syr   5.10  21.056742
60   3ebp   5.91  20.820831
61   2w66   4.05  21.666061
62   2w4x   4.85  21.174711
63   2wca   5.60  20.820499
64   2xj7   6.66  23.217273
65   2vvn   7.30  21.290861
66   3aru   3.22  26.153312
67   3arv   5.64  20.820943
68   3ary   6.00  24.310117
69   3arq   6.40  20.818921
70   3arp   7.15  20.820865
71   4ih5   4.11  20.815228
72   4ih7   5.24  20.820822
73   3cj4   6.51  20.820840
74   4eo8   8.15  20.820865
75   3gnw   9.10  20.820865
76   1gpk   5.37  20.918281
77   1h23   8.35  20.820865
78   1h22   9.10  20.820865
79   3f3a   4.19  20.820667
80   3f3c   6.02  20.820765
81   4mme   6.50  20.820835
82   3f3d   7.16  20.820456
83   3f3e   7.70  20.820853
84   2wbg   4.45  20.821102
85   2cbv   5.48  20.990812
86   2j78   6.42  20.855444
87   2j7h   7.19  20.960249
88   2cet   8.02  20.877684
89   3udh   2.85  20.861118
90   3rsx   4.41  20.874742
91   4djv   6.72  20.820865
92   2vkm   8.74  20.820865
93   4gid  10.77  20.820865
94   4jfs   5.27  20.894454
95   4j28   5.70  20.877939
96   2wvt   6.12  20.823469
97   2xii   7.20  20.820870
98   4pcs   7.85  20.823620
99   3rr4   4.55  21.284864
100  1s38   5.15  20.872837
101  1r5y   6.46  20.838300
102  3gc5   7.26  20.821145
103  3ge7   8.70  20.820865
104  4dli   5.62  20.820855
105  2zb1   6.32  20.820865
106  4f9w   6.94  20.820865
107  3e92   8.00  20.820865
108  3e93   8.85  20.820865
109  4owm   2.96  21.104253
110  3twp   3.92  20.914089
111  3r88   4.82  20.929323
112  4gkm   5.17  20.820864
113  3qqs   5.82  20.820854
114  3gv9   2.12  24.983155
115  3gr2   2.52  22.604776
116  4kz6   3.10  21.014424
117  4jxs   4.74  20.820336
118  2r9w   5.10  20.820865
119  2hb1   3.80  20.820865
120  1bzc   4.92  20.820865
121  2qbr   6.33  20.820865
122  2qbq   7.44  20.820865
123  2qbp   8.40  20.820865
124  1q8t   4.76  21.149492
125  1ydr   5.52  20.818878
126  1q8u   5.96  20.820118
127  1ydt   7.32  20.820864
128  3ag9   8.05  20.820865
129  3fcq   2.77  21.070789
130  1z9g   5.64  20.818540
131  1qf1   7.32  20.820865
132  5tmn   8.04  20.820865
133  4tmn  10.17  20.820865
134  4ddk   2.29  20.982890
135  4ddh   3.32  21.009563
136  3ivg   4.30  20.820862
137  3coz   5.57  20.821298
138  3coy   6.02  20.821042
139  3pxf   4.43  20.820865
140  4eor   6.30  20.820864
141  2xnb   6.83  20.814628
142  1pxn   7.15  20.808321
143  2fvd   8.52  20.820861
144  4k77   6.63  21.807147
145  4e5w   7.66  20.820166
146  4ivb   8.72  20.808187
147  4ivd   9.52  20.815991
148  4ivc  10.00  20.814271
149  4f09   6.70  20.872323
150  4gfm   7.22  21.090361
151  4hge   7.92  20.812715
152  4e6q   8.36  20.818147
153  4jia   9.22  20.820865
154  2brb   4.86  20.820854
155  2br1   5.14  20.820851
156  3jvr   5.72  20.820748
157  3jvs   6.54  20.820865
158  1nvq   8.25  20.820865
159  3acw   4.76  20.820865
160  4ea2   6.44  20.820865
161  2zcr   6.87  20.820865
162  2zy1   7.40  20.820851
163  2zcq   8.82  20.820864
164  1bcu   3.28  21.069587
165  3bv9   5.36  20.820865
166  1oyt   7.24  20.820865
167  2zda   8.40  20.820865
168  3utu  10.92  20.820865
169  3u9q   4.38  20.820865
170  2yfe   6.63  20.820865
171  3fur   8.00  20.820865
172  3b1m   8.48  20.820865
173  2p4y   9.00  20.820865
174  3uo4   6.52  20.820865
175  3up2   7.40  20.820865
176  3e5a   8.23  20.820865
177  2wtv   8.74  20.820865
178  3myg  10.70  20.810805
179  3kgp   2.57  21.360080
180  1c5z   4.01  20.823156
181  1o5b   5.77  20.816337
182  1owh   7.40  20.820865
183  1sqa   9.21  20.820865
184  4jsz   2.30  25.805024
185  3kwa   4.08  20.856169
186  2weg   6.50  20.860652
187  3ryj   7.80  20.811911
188  3dd0   9.00  20.877487
189  2xdl   3.10  22.261753
190  3b27   5.16  20.819575
191  1yc1   6.17  20.820864
192  3rlr   7.52  20.820864
193  2yki   9.46  20.820865
194  1z95   7.12  20.820865
195  3b68   8.40  20.820865
196  3b5r   8.77  20.820865
197  3b65   9.27  20.820865
198  3g0w   9.52  20.820865
199  4u4s   2.92  30.193625
200  1p1q   4.89  20.837228
201  1syi   5.44  20.837113
202  1p1n   6.80  20.820492
203  2al5   8.40  20.854033
204  3g2z   2.36  24.023292
205  3g31   2.89  20.841668
206  4de2   4.12  20.884522
207  4de3   5.52  20.897488
208  4de1   5.96  20.955363
209  1vso   4.72  20.820768
210  4dld   5.82  20.820865
211  3gbb   6.90  20.820862
212  3fv2   8.11  20.820865
213  3fv1   9.30  20.820865
214  4mgd   4.69  20.820865
215  2qe4   7.96  20.820865
216  1qkt   9.04  20.820865
217  2pog   9.54  20.820865
218  2p15  10.30  20.820865
219  2y5h   5.79  21.157894
220  1lpg   7.09  20.820865
221  2xbv   8.43  20.820859
222  1z6e   9.72  20.820863
223  1mq6  11.15  20.820864
224  1nc3   5.00  20.809821
225  1nc1   6.12  20.820796
226  1y6r  10.11  20.821128
227  4f2w  11.30  20.820186
228  4f3c  11.82  20.820864
229  1uto   2.27  23.249625
230  4abg   3.57  22.440459
231  3gy4   5.10  20.820429
232  1k1i   6.58  20.820865
233  1o3f   7.96  20.820865
234  2yge   5.06  20.820423
235  2fxs   6.06  20.843332
236  2iwx   6.68  20.817233
237  2wer   7.05  20.817952
238  2vw5   8.52  20.820864
239  4kzq   6.10  20.821091
240  4kzu   6.50  20.820857
241  4j21   7.41  20.820758
242  4j3l   7.80  20.820857
243  3kr8   8.10  20.819394
244  2ymd   3.16  20.856645
245  2wnc   6.32  20.820654
246  2xys   7.42  20.820130
247  2wn9   8.52  20.907610
248  2x00  11.33  20.820862
249  3ozt   4.13  20.820899
250  3ozs   5.33  20.820863
251  3oe5   6.88  20.820858
252  3oe4   7.47  20.820889
253  3nw9   9.00  20.820865
254  3ao4   2.07  20.902125
255  3zt2   2.84  20.820851
256  3zsx   3.28  20.820865
257  4cig   3.67  20.820865
258  3zso   5.12  20.820865
259  3n7a   3.70  20.823292
260  4ciw   4.82  20.830740
261  3n86   5.64  20.820856
262  3n76   6.85  20.820864
263  2xb8   7.59  20.820860
264  4bkt   3.62  25.275827
265  4w9c   4.65  20.813663
266  4w9l   5.02  20.820823
267  4w9i   5.96  20.822752
268  4w9h   6.73  20.817943
269  3nq9   4.03  20.820865
270  3ueu   5.24  20.820865
271  3uev   5.89  20.820865
272  3uew   6.31  20.820865
273  3uex   6.92  20.820865
274  3lka   2.82  23.404166
275  3ehy   5.85  21.006367
276  3tsk   7.17  20.820865
277  3nx7   8.10  20.958432
278  4gr0   9.55  20.820865
279  3dxg   2.40  20.543733
280  3d6q   3.76  22.424143
281  1w4o   5.22  21.765748
282  1o0h   5.92  20.837926
283  1u1b   7.80  20.820852

Summary of the scoring power: ===================================
The regression equation: logKa = -0.78 + 22.87 * Score
Number of favorable sample (N) = 283
Pearson correlation coefficient (R) = -0.326
Standard deviation in fitting (SD) = 2.05
=================================================================

Template command for running the bootstrap in R program==========

rm(list=ls());
require(boot);
data_all<-read.table("X-Score_processed_score",header=TRUE);
aa<-c(1:nrow(data_all));

mycore<-function(x,indices)
{
data_1<-matrix(NA,283,2);
for(i in 1:283);
    {
        data_1[i,1]=data_all[x[indices][i],2];
        data_1[i,2]=data_all[x[indices][i],3];
    }
        data_2<-data.frame(data_1);
        names(data_2)<-c("a","b");
        cor(data_2$a,data_2$b);
};

data.boot<-boot(aa,mycore,R=10000,stype="i",sim="ordinary");
sink("X-Score-ci.results");
a<-boot.ci(data.boot,conf=0.9,type=c("bca"));
print(a);
sink();

=================================================================
