     code  logKa       score
1    4llx   2.89   56.271036
2    5c28   5.66   73.905128
3    3uuo   7.96   94.844516
4    3ui7   9.00  110.480330
5    5c2h  11.09  135.157938
6    2v00   3.66   86.353540
7    3wz8   5.82  143.751981
8    3pww   7.32  178.176600
9    3prs   7.82  167.119427
10   3uri   9.00  136.754869
11   4m0z   5.19  119.442580
12   4m0y   6.46   85.474617
13   3qgy   7.80  128.295114
14   4qd6   8.64  140.559777
15   4rfm  10.05  118.267311
16   4cr9   4.10   64.929437
17   4cra   7.22  131.544714
18   4x6p   8.30  139.902199
19   4crc   8.72  133.227445
20   4ty7   9.52  137.371405
21   5aba   2.98   92.352745
22   5a7b   3.57  125.460860
23   4agn   3.97   95.985898
24   4agp   4.69  123.719521
25   4agq   5.01  115.802701
26   3bgz   6.26  174.048313
27   3jya   6.89  102.275732
28   2c3i   7.60  127.886710
29   4k18   8.96  155.368192
30   5dwr  11.22  177.547815
31   3mss   4.66  105.846338
32   3k5v   6.30  134.974710
33   3pyy   6.86  124.380902
34   2v7a   8.30  121.220358
35   4twp  10.00  136.646033
36   3wtj   6.53   89.092464
37   3zdg   7.10   69.038364
38   3u8k   8.66   68.051172
39   4qac   9.40  163.909497
40   3u8n  10.17   77.895212
41   1a30   4.30  106.793937
42   2qnq   6.11  193.920116
43   1g2k   7.96  187.902420
44   1eby   9.70  188.063775
45   3o9i  11.82  160.250638
46   4lzs   4.80   68.206913
47   3u5j   5.61  120.370399
48   4wiv   6.26  138.489960
49   4ogj   6.79  151.862942
50   3p5o   7.30  124.649274
51   1ps3   2.28   62.373572
52   3dx1   3.58   74.613133
53   3d4z   4.89   59.527738
54   3dx2   6.82   87.098388
55   3ejr   8.57  101.701949
56   3l7b   2.40   59.286715
57   4eky   3.52   79.285877
58   3g2n   4.09   71.113393
59   3syr   5.10   56.422752
60   3ebp   5.91  108.866149
61   2w66   4.05   41.980586
62   2w4x   4.85   56.006262
63   2wca   5.60   99.147575
64   2xj7   6.66   54.160251
65   2vvn   7.30   57.764361
66   3aru   3.22   58.295209
67   3arv   5.64  108.659791
68   3ary   6.00   53.889275
69   3arq   6.40   81.555454
70   3arp   7.15  145.157665
71   4ih5   4.11   89.768258
72   4ih7   5.24  100.610874
73   3cj4   6.51   96.487334
74   4eo8   8.15  131.149430
75   3gnw   9.10  153.365739
76   1gpk   5.37   71.656747
77   1h23   8.35  145.754225
78   1h22   9.10  129.004018
79   3f3a   4.19   90.695924
80   3f3c   6.02  106.620965
81   4mme   6.50  110.026499
82   3f3d   7.16   94.172061
83   3f3e   7.70   99.595257
84   2wbg   4.45   97.876581
85   2cbv   5.48   64.013112
86   2j78   6.42   63.192739
87   2j7h   7.19   52.275710
88   2cet   8.02   86.496489
89   3udh   2.85   71.392095
90   3rsx   4.41   83.737124
91   4djv   6.72  155.598210
92   2vkm   8.74  188.444460
93   4gid  10.77  183.521644
94   4jfs   5.27   86.507991
95   4j28   5.70   79.317174
96   2wvt   6.12   61.312083
97   2xii   7.20  118.065948
98   4pcs   7.85   93.281563
99   3rr4   4.55   67.935330
100  1s38   5.15   81.628746
101  1r5y   6.46   75.462386
102  3gc5   7.26   86.525325
103  3ge7   8.70  114.190962
104  4dli   5.62  106.662833
105  2zb1   6.32  140.745524
106  4f9w   6.94  142.818400
107  3e92   8.00  151.512035
108  3e93   8.85  158.389516
109  4owm   2.96   60.088270
110  3twp   3.92   64.605159
111  3r88   4.82   65.139372
112  4gkm   5.17  101.424040
113  3qqs   5.82   94.962674
114  3gv9   2.12   47.942216
115  3gr2   2.52   56.851240
116  4kz6   3.10   63.141576
117  4jxs   4.74   81.599512
118  2r9w   5.10  116.075558
119  2hb1   3.80   92.789340
120  1bzc   4.92  115.512276
121  2qbr   6.33  144.641685
122  2qbq   7.44  140.720135
123  2qbp   8.40  159.039798
124  1q8t   4.76   67.454700
125  1ydr   5.52   94.974527
126  1q8u   5.96  102.967223
127  1ydt   7.32  128.227765
128  3ag9   8.05  117.633274
129  3fcq   2.77   68.017631
130  1z9g   5.64   95.273641
131  1qf1   7.32  126.998183
132  5tmn   8.04  124.706281
133  4tmn  10.17  132.252050
134  4ddk   2.29   68.892482
135  4ddh   3.32   66.845005
136  3ivg   4.30  114.622711
137  3coz   5.57   95.870371
138  3coy   6.02   99.472257
139  3pxf   4.43  133.320370
140  4eor   6.30  123.200155
141  2xnb   6.83   87.948830
142  1pxn   7.15   82.242134
143  2fvd   8.52  127.117186
144  4k77   6.63   65.707393
145  4e5w   7.66   88.771704
146  4ivb   8.72   88.208012
147  4ivd   9.52   97.472202
148  4ivc  10.00   92.828753
149  4f09   6.70   77.318799
150  4gfm   7.22   76.626896
151  4hge   7.92   87.282547
152  4e6q   8.36  102.191523
153  4jia   9.22  158.055064
154  2brb   4.86  117.787239
155  2br1   5.14  119.825658
156  3jvr   5.72  110.805118
157  3jvs   6.54  130.280467
158  1nvq   8.25  136.558601
159  3acw   4.76  143.827000
160  4ea2   6.44  132.119507
161  2zcr   6.87  166.436804
162  2zy1   7.40  114.962478
163  2zcq   8.82  128.497400
164  1bcu   3.28   68.021961
165  3bv9   5.36  138.450664
166  1oyt   7.24  139.277419
167  2zda   8.40  135.005002
168  3utu  10.92  179.709124
169  3u9q   4.38  125.796827
170  2yfe   6.63  144.116498
171  3fur   8.00  179.501479
172  3b1m   8.48  166.570351
173  2p4y   9.00  208.733741
174  3uo4   6.52  157.867873
175  3up2   7.40  154.655558
176  3e5a   8.23  133.092052
177  2wtv   8.74  161.332767
178  3myg  10.70   87.453565
179  3kgp   2.57   60.590200
180  1c5z   4.01   77.168101
181  1o5b   5.77   79.229856
182  1owh   7.40  107.460795
183  1sqa   9.21  125.711629
184  4jsz   2.30   42.105754
185  3kwa   4.08   71.532053
186  2weg   6.50   92.580387
187  3ryj   7.80   99.235062
188  3dd0   9.00   89.441833
189  2xdl   3.10   65.926931
190  3b27   5.16  105.837728
191  1yc1   6.17  120.060707
192  3rlr   7.52  132.621185
193  2yki   9.46  176.651113
194  1z95   7.12  172.773751
195  3b68   8.40  168.622737
196  3b5r   8.77  192.173885
197  3b65   9.27  173.335651
198  3g0w   9.52  159.207182
199  4u4s   2.92   48.422787
200  1p1q   4.89   72.434471
201  1syi   5.44   74.362892
202  1p1n   6.80   73.253044
203  2al5   8.40   73.714396
204  3g2z   2.36   44.523556
205  3g31   2.89   69.433228
206  4de2   4.12   78.656182
207  4de3   5.52   79.086725
208  4de1   5.96   73.618749
209  1vso   4.72  100.028088
210  4dld   5.82  109.257994
211  3gbb   6.90   98.338295
212  3fv2   8.11   99.028480
213  3fv1   9.30   97.466737
214  4mgd   4.69  135.815002
215  2qe4   7.96  138.320567
216  1qkt   9.04  132.724797
217  2pog   9.54  146.788168
218  2p15  10.30  223.603238
219  2y5h   5.79   77.862569
220  1lpg   7.09  165.077052
221  2xbv   8.43  130.208825
222  1z6e   9.72  131.057034
223  1mq6  11.15  131.124099
224  1nc3   5.00   61.818695
225  1nc1   6.12  108.324786
226  1y6r  10.11   95.517581
227  4f2w  11.30   99.764959
228  4f3c  11.82  124.714599
229  1uto   2.27   59.966708
230  4abg   3.57   67.775818
231  3gy4   5.10   76.969736
232  1k1i   6.58  132.909120
233  1o3f   7.96  130.898334
234  2yge   5.06   96.606031
235  2fxs   6.06   85.455147
236  2iwx   6.68   92.781389
237  2wer   7.05   96.676742
238  2vw5   8.52  121.310107
239  4kzq   6.10   96.639447
240  4kzu   6.50  111.936326
241  4j21   7.41  103.002235
242  4j3l   7.80  116.856405
243  3kr8   8.10   99.661282
244  2ymd   3.16   78.838784
245  2wnc   6.32  101.725529
246  2xys   7.42  100.075438
247  2wn9   8.52   88.027719
248  2x00  11.33  115.486686
249  3ozt   4.13  108.860850
250  3ozs   5.33  119.173797
251  3oe5   6.88  116.786577
252  3oe4   7.47  104.632205
253  3nw9   9.00  146.490536
254  3ao4   2.07   80.158744
255  3zt2   2.84  110.881039
256  3zsx   3.28  138.934158
257  4cig   3.67  141.566647
258  3zso   5.12  165.633906
259  3n7a   3.70   76.290858
260  4ciw   4.82   71.488053
261  3n86   5.64   99.321787
262  3n76   6.85  117.190101
263  2xb8   7.59  105.918711
264  4bkt   3.62   53.408941
265  4w9c   4.65   86.780764
266  4w9l   5.02  109.614113
267  4w9i   5.96   89.322703
268  4w9h   6.73   97.116118
269  3nq9   4.03  117.956005
270  3ueu   5.24  164.493472
271  3uev   5.89  176.933607
272  3uew   6.31  179.440860
273  3uex   6.92  206.170088
274  3lka   2.82   62.727274
275  3ehy   5.85   66.640935
276  3tsk   7.17  121.094477
277  3nx7   8.10   84.908489
278  4gr0   9.55  158.748663
279  3dxg   2.40   51.186219
280  3d6q   3.76   55.108542
281  1w4o   5.22   52.507509
282  1o0h   5.92   78.095541
283  1u1b   7.80  115.771851

Summary of the scoring power: ===================================
The regression equation: logKa = 0.03 + 2.88 * Score
Number of favorable sample (N) = 283
Pearson correlation coefficient (R) = 0.559
Standard deviation in fitting (SD) = 1.80
=================================================================

Template command for running the bootstrap in R program==========

rm(list=ls());
require(boot);
data_all<-read.table("X-Score_processed_score",header=TRUE);
aa<-c(1:nrow(data_all));

mycore<-function(x,indices)
{
data_1<-matrix(NA,283,2);
for(i in 1:283);
    {
