     code     1     2     3     4     5     6
1    4llx  2vw5  2vvn  4agq  3uri  1u1b  2al5
2    5c28  2vvn  1sqa  3coy  1o3f  3utu  3nw9
3    3uuo  3nw9  4de1  2zcq  3uex  4jia  2vw5
4    3ui7  2vvn  3uex  5c2h  2vw5  4tmn  3ge7
5    5c2h  2p4y  3f3e  2zcq  3zso  4de1  4ivc
6    2v00  3nw9  2vvn  3f3e  3myg  4de1  2vw5
7    3wz8  2vvn  2vw5  1nvq  4twp  4f3c  2fvd
8    3pww  3qqs  4gr0  2vvn  2zcq  2al5  3ebp
9    3prs  2zcq  3myg  3fv1  2cet  3gnw  3uri
10   3uri  3kr8  3e93  2p15  2zcq  2qbp  4gr0
11   4m0z  3fv1  3zso  2r9w  3uri  4rfm  3o9i
12   4m0y  2vvn  3p5o  1nvq  4agq  3uri  2vw5
13   3qgy  2vvn  2p4y  3p5o  1nvq  4agq  3f3e
14   4qd6  4gid  2al5  3myg  3fv1  4de1  3zso
15   4rfm  3f3e  2vvn  4de1  2vw5  3ejr  3g0w
16   4cr9  2vvn  2vw5  3f3e  4ivc  1mq6  3zso
17   4cra  4de1  1u1b  2vw5  4jia  3dd0  4tmn
18   4x6p  3fv1  3utu  2al5  2vw5  5dwr  4agq
19   4crc  3fv1  5c2h  3f3e  1e66  1nvq  4ivc
20   4ty7  3qqs  2zcq  4gr0  2vvn  5c2h  3uex
21   5aba  2qbp  3qqs  5c2h  3e93  4gr0  2zcq
22   5a7b  3coy  3kr8  3qqs  5c2h  4pcs  4gr0
23   4agn  3kr8  3coy  2qbp  4gr0  3qqs  5c2h
24   4agp  2qbp  3kr8  3qqs  3ge7  4rfm  2zcq
25   4agq  3coy  3qqs  4gid  4de1  2al5  4tmn
26   3bgz  3uex  3p5o  1nvq  4ivc  4jia  4agq
27   3jya  4de1  2vvn  4agq  4gid  3zso  3f3e
28   2c3i  2vvn  3fv1  4agq  4twp  2fvd  2vw5
29   4k18  4ty7  2p4y  3ag9  4jia  3dd0  3uex
30   5dwr  2zcq  3uex  4gr0  2al5  4agq  4rfm
31   3mss  3p5o  4tmn  5dwr  3gnw  3f3e  4de1
32   3k5v  3e93  2vvn  4pcs  4twp  3g0w  4gid
33   3pyy  2vvn  3o9i  4de1  4twp  3p5o  3e93
34   2v7a  2vvn  4agq  5c2h  4ty7  2al5  3dd0
35   4twp  2p15  2p4y  3f3e  3p5o  2vvn  1e66
36   3wtj  3p5o  3uex  5dwr  1nvq  2vvn  3f3e
37   3zdg  5dwr  4de1  2vvn  4agq  2vw5  3p5o
38   3u8k  2vvn  4twp  2x00  3utu  1sqa  4agq
39   4qac  3nw9  3fv1  3f3e  4tmn  2vvn  4twp
40   3u8n  2vvn  3nw9  3uex  3p5o  4twp  2x00
41   1a30  3uri  5dwr  3f3e  2vvn  1e66  3uex
42   2qnq  2zcq  4gr0  2vvn  2al5  2yki  3f3e
43   1g2k  2xb8  4de1  3qqs  1o3f  2p4y  3o9i
44   1eby  2vvn  2al5  1sqa  3qqs  3coy  2zcq
45   3o9i  2zcq  3uri  3fv1  4gid  2al5  2vw5
46   4lzs  4de1  4agq  3uex  1sqa  2qbp  4jia
47   3u5j  4jia  4agq  3uex  3f3e  1nvq  4ivc
