,PDB code,EC number,Class,Subclass,Subsubclass
739,1jii,E.C.6.1.1.1,6,1,1
740,1jij,E.C.6.1.1.1,6,1,1
741,1jik,E.C.6.1.1.1,6,1,1
742,1jil,E.C.6.1.1.1,6,1,1
775,1jzs,E.C.6.1.1.5,6,1,1
910,1m83,E.C.6.1.1.2,6,1,1
913,1mau,E.C.6.1.1.2,6,1,1
914,1maw,E.C.6.1.1.2,6,1,1
994,1nj1,E.C.6.1.1.15,6,1,1
995,1nj5,E.C.6.1.1.15,6,1,1
1232,1pfu,E.C.6.1.1.10,6,1,1
1233,1pfy,E.C.6.1.1.10,6,1,1
1234,1pg2,E.C.6.1.1.10,6,1,1
1875,1yid,E.C.6.1.1.2,6,1,1
1990,2a4m,E.C.6.1.1.2,6,1,1
2812,2ov4,E.C.6.1.1.2,6,1,1
3710,3a5y,E.C.6.1.1.6,6,1,1
4125,3e9h,E.C.6.1.1.6,6,1,1
4126,3e9i,E.C.6.1.1.6,6,1,1
4505,3hfv,E.C.6.1.1.20,6,1,1
4506,3hfz,E.C.6.1.1.20,6,1,1
5321,3pd2,E.C.6.1.1.3,6,1,1
5322,3pd3,E.C.6.1.1.3,6,1,1
5323,3pd4,E.C.6.1.1.3,6,1,1
6171,3zjt,E.C.6.1.1.4,6,1,1
6172,3zju,E.C.6.1.1.4,6,1,1
6173,3zjv,E.C.6.1.1.4,6,1,1
6801,4eg4,E.C.6.1.1.10,6,1,1
6802,4eg5,E.C.6.1.1.10,6,1,1
6803,4eg6,E.C.6.1.1.10,6,1,1
6804,4eg7,E.C.6.1.1.10,6,1,1
6805,4ega,E.C.6.1.1.10,6,1,1
6845,4eo4,E.C.6.1.1.3,6,1,1
7162,4hwo,E.C.6.1.1.3,6,1,1
7163,4hwp,E.C.6.1.1.3,6,1,1
7164,4hwr,E.C.6.1.1.3,6,1,1
7165,4hws,E.C.6.1.1.3,6,1,1
7166,4hwt,E.C.6.1.1.3,6,1,1
7800,4mvw,E.C.6.1.1.10,6,1,1
7801,4mvx,E.C.6.1.1.10,6,1,1
7802,4mvy,E.C.6.1.1.10,6,1,1
7803,4mw0,E.C.6.1.1.10,6,1,1
7804,4mw1,E.C.6.1.1.10,6,1,1
7805,4mw2,E.C.6.1.1.10,6,1,1
7806,4mw4,E.C.6.1.1.10,6,1,1
7807,4mw5,E.C.6.1.1.10,6,1,1
7808,4mw6,E.C.6.1.1.10,6,1,1
7809,4mw7,E.C.6.1.1.10,6,1,1
7810,4mw9,E.C.6.1.1.10,6,1,1
7811,4mwb,E.C.6.1.1.10,6,1,1
7812,4mwc,E.C.6.1.1.10,6,1,1
7813,4mwe,E.C.6.1.1.10,6,1,1
8058,4p72,E.C.6.1.1.20,6,1,1
8059,4p73,E.C.6.1.1.20,6,1,1
8060,4p74,E.C.6.1.1.20,6,1,1
8061,4p75,E.C.6.1.1.20,6,1,1
8066,4pg3,E.C.6.1.1.6,6,1,1
8134,4py2,E.C.6.1.1.10,6,1,1
8151,4q15,E.C.6.1.1.15,6,1,1
8192,4q93,E.C.6.1.1.1,6,1,1
8406,4rr6,E.C.6.1.1.3,6,1,1
8407,4rra,E.C.6.1.1.3,6,1,1
8408,4rrf,E.C.6.1.1.3,6,1,1
8409,4rrg,E.C.6.1.1.3,6,1,1
8412,4rrq,E.C.6.1.1.3,6,1,1
8475,4ts1,E.C.6.1.1.1,6,1,1
8479,4ttv,E.C.6.1.1.3,6,1,1
8672,4wi1,E.C.6.1.1.15,6,1,1
8893,4ycu,E.C.6.1.1.6,6,1,1
8894,4ycv,E.C.6.1.1.6,6,1,1
8895,4ycw,E.C.6.1.1.6,6,1,1
8897,4ydq,E.C.6.1.1.15,6,1,1
8927,4ypf,E.C.6.1.1.21,6,1,1
8933,4yrc,E.C.6.1.1.21,6,1,1
8934,4yrg,E.C.6.1.1.21,6,1,1
8935,4yrr,E.C.6.1.1.21,6,1,1
8936,4yrs,E.C.6.1.1.21,6,1,1
8937,4yrt,E.C.6.1.1.21,6,1,1
9050,4zt2,E.C.6.1.1.10,6,1,1
9051,4zt3,E.C.6.1.1.10,6,1,1
9052,4zt4,E.C.6.1.1.10,6,1,1
9053,4zt5,E.C.6.1.1.10,6,1,1
9054,4zt6,E.C.6.1.1.10,6,1,1
9055,4zt7,E.C.6.1.1.10,6,1,1
9162,5agi,E.C.6.1.1.4,6,1,1
9163,5agj,E.C.6.1.1.4,6,1,1
9164,5agr,E.C.6.1.1.4,6,1,1
9438,5dk4,E.C.6.1.1.2,6,1,1
9670,5fog,E.C.6.1.1.4,6,1,1
9671,5fol,E.C.6.1.1.4,6,1,1
9672,5fom,E.C.6.1.1.4,6,1,1
9748,5hgq,E.C.6.1.1.6 ,6,1,1
9824,5ifu,E.C.6.1.1.15,6,1,1
9946,5k0s,E.C.6.1.1.10,6,1,1
9947,5k0t,E.C.6.1.1.10,6,1,1
11091,6hcw,E.C.6.1.1.6,6,1,1
11092,6hcv,E.C.6.1.1.6,6,1,1
11093,6hcu,E.C.6.1.1.6,6,1,1
11232,6agt,E.C.6.1.1.6,6,1,1
11239,6abk,E.C.6.1.1.26,6,1,1
11240,6aaq,E.C.6.1.1.26,6,1,1
11241,6aao,E.C.6.1.1.26,6,1,1
11242,6aan,E.C.6.1.1.26,6,1,1
11243,6aad,E.C.6.1.1.26,6,1,1
